time,node,CPU_Power (W),MEM_Power (W),PSU1_IIN (% A),PSU1_PIN (W),PSU1_POUT (W),PSU2_IIN (% A),PSU2_PIN (W),PSU2_POUT (W),Total_Power (W)
2023-06-15T11:03:21.961,n4,0.0,0.0,0.15,24.0,12.0,0.15,24.0,12.0,48.0
2023-06-15T11:03:51.988,n1,58.0,30.0,0.55,114.0,92.0,0.55,108.0,92.0,222.0
2023-06-15T11:03:51.988,n2,82.0,45.0,0.65,138.0,100.0,0.6,126.0,116.0,258.0
2023-06-15T11:03:51.988,n3,43.0,0.0,0.5,96.0,68.0,0.45,102.0,68.0,198.0
2023-06-15T11:03:51.988,n4,0.0,0.0,0.15,24.0,12.0,0.15,24.0,12.0,48.0
2023-06-15T11:04:22.6,n1,66.0,34.0,0.55,114.0,92.0,0.55,114.0,92.0,228.0
2023-06-15T11:04:22.6,n2,83.0,43.0,0.65,132.0,108.0,0.6,126.0,100.0,258.0
2023-06-15T11:04:22.6,n3,44.0,30.0,0.5,96.0,76.0,0.45,102.0,76.0,198.0
2023-06-15T11:04:22.6,n4,0.0,0.0,0.15,24.0,12.0,0.15,24.0,12.0,48.0
2023-06-15T11:04:51.940,n1,81.0,52.0,0.6,126.0,100.0,0.6,120.0,108.0,246.0
2023-06-15T11:04:51.941,n2,82.0,47.0,0.65,138.0,100.0,0.6,126.0,116.0,264.0
2023-06-15T11:04:51.941,n3,44.0,3.0,0.5,96.0,76.0,0.45,96.0,76.0,192.0
2023-06-15T11:04:51.941,n4,0.0,0.0,0.15,24.0,12.0,0.15,24.0,12.0,48.0
2023-06-15T11:05:21.984,n1,57.0,12.0,0.55,114.0,92.0,0.55,108.0,84.0,222.0
2023-06-15T11:05:21.984,n2,85.0,41.0,0.65,138.0,100.0,0.6,126.0,108.0,264.0
2023-06-15T11:05:21.985,n3,44.0,0.0,0.5,96.0,68.0,0.5,102.0,84.0,198.0
2023-06-15T11:05:21.985,n4,0.0,0.0,0.15,24.0,12.0,0.15,24.0,12.0,48.0
2023-06-15T11:05:51.964,n1,66.0,34.0,0.55,114.0,92.0,0.55,108.0,92.0,228.0
2023-06-15T11:05:51.964,n2,82.0,45.0,0.65,132.0,116.0,0.6,126.0,108.0,258.0
2023-06-15T11:05:51.964,n3,44.0,3.0,0.5,96.0,68.0,0.45,96.0,68.0,198.0
2023-06-15T11:05:51.964,n4,0.0,0.0,0.15,24.0,12.0,0.15,24.0,12.0,48.0
2023-06-15T11:06:22.4,n1,55.0,38.0,0.55,114.0,92.0,0.5,108.0,84.0,216.0
2023-06-15T11:06:22.4,n2,88.0,43.0,0.65,132.0,116.0,0.6,126.0,92.0,264.0
2023-06-15T11:06:22.4,n3,45.0,0.0,0.5,102.0,76.0,0.45,96.0,76.0,198.0
2023-06-15T11:06:22.4,n4,0.0,0.0,0.15,24.0,12.0,0.15,24.0,12.0,48.0
2023-06-15T11:06:52.128,n1,68.0,32.0,0.55,120.0,92.0,0.55,114.0,92.0,234.0
2023-06-15T11:06:52.128,n2,82.0,45.0,0.65,138.0,108.0,0.6,126.0,108.0,258.0
2023-06-15T11:06:52.128,n3,43.0,0.0,0.5,96.0,68.0,0.45,96.0,68.0,198.0
2023-06-15T11:06:52.128,n4,0.0,0.0,0.15,24.0,12.0,0.15,24.0,12.0,48.0
2023-06-15T11:07:22.44,n1,67.0,37.0,0.6,120.0,92.0,0.55,114.0,92.0,234.0
2023-06-15T11:07:22.44,n2,82.0,45.0,0.65,132.0,100.0,0.6,126.0,100.0,258.0
2023-06-15T11:07:22.44,n3,46.0,12.0,0.5,102.0,84.0,0.45,102.0,76.0,198.0
2023-06-15T11:07:22.44,n4,0.0,0.0,0.15,24.0,12.0,0.15,24.0,12.0,48.0
2023-06-15T11:07:52.139,n1,56.0,33.0,0.55,114.0,84.0,0.5,108.0,84.0,216.0
